City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
108,Benoy,TD,8.9833,16.3199,75.07,75,90,4.41,overcast clouds
109,Matay,EG,28.419,30.7792,66.65,83,0,12.8,clear sky
110,Dudinka,RU,69.4058,86.1778,-4.68,100,100,6.73,overcast clouds
111,Bereda,ES,43.2686,-7.5406,44.35,95,57,2.8,broken clouds
112,Atuona,PF,-9.8,-139.0333,78.35,73,1,16.98,clear sky
113,Ribeira Grande,PT,38.5167,-28.7,69.49,92,100,24.52,overcast clouds
114,Chifeng,CN,42.2683,118.9636,27.39,76,100,13.42,snow
115,Cabo San Lucas,MX,22.8909,-109.9124,79.52,72,49,7.92,scattered clouds
116,Padang,ID,-0.9492,100.3543,80.65,82,100,4.16,overcast clouds
117,Ponta Do Sol,PT,32.6667,-17.1,67.71,65,8,8.01,clear sky
118,Talnakh,RU,69.4865,88.3972,-7.24,100,96,6.49,overcast clouds
119,Mangrol,IN,21.1167,70.1167,78.91,39,84,11.63,broken clouds
120,Dasoguz,TM,41.8363,59.9666,21.31,45,0,6.91,clear sky
121,Tecoanapa,MX,16.5167,-98.75,79.72,80,100,6.24,overcast clouds
122,Acajutla,SV,13.5928,-89.8275,78.66,76,57,5.88,broken clouds
123,Tasiilaq,GL,65.6145,-37.6368,15.15,82,99,7.16,overcast clouds
124,Port Alfred,ZA,-33.5906,26.891,63.09,83,100,6.17,light rain
125,Birjand,IR,32.8663,59.2211,39.67,56,0,4.61,clear sky
126,Hambantota,LK,6.1241,81.1185,80.94,94,20,3.44,few clouds
127,The Valley,AI,18.217,-63.0578,82.26,75,9,19.24,clear sky
128,Bethel,US,41.3712,-73.414,44.01,76,1,0.0,clear sky
129,Estelle,US,29.8458,-90.1067,60.8,76,90,10.36,overcast clouds
130,Torbay,CA,47.6666,-52.7314,33.28,96,90,4.61,snow
131,Wucheng,CN,29.6008,118.175,68.74,88,98,1.9,overcast clouds
132,Shasta Lake,US,40.6804,-122.3708,52.81,91,100,2.21,overcast clouds
133,Gimbi,ET,9.1667,35.8333,51.44,92,23,2.53,few clouds
134,Kiruna,SE,67.8557,20.2251,25.72,100,90,1.14,overcast clouds
135,Nishihara,JP,26.1842,127.7558,75.25,94,90,4.61,thunderstorm
136,Chokurdakh,RU,70.6333,147.9167,0.97,89,99,5.19,overcast clouds
137,Melita,CA,49.2681,-100.9967,46.18,58,23,10.4,few clouds
138,Deputatskiy,RU,69.3,139.9,3.78,94,98,2.04,overcast clouds
139,Kuching,MY,1.55,110.3333,88.02,70,40,3.44,scattered clouds
140,Provideniya,RU,64.3833,-173.3,8.8,82,4,8.81,clear sky
141,Turrialba,CR,9.9047,-83.6835,74.91,96,82,1.19,broken clouds
142,Naryan-Mar,RU,67.6713,53.087,33.08,98,100,13.71,snow
143,Zapolyarnyy,RU,69.4154,30.8136,29.48,97,100,3.71,overcast clouds
144,Dustlik,UZ,40.5247,68.0358,33.64,40,0,1.36,clear sky
145,Pevek,RU,69.7008,170.3133,-10.17,93,5,6.73,clear sky
146,Bonthe,SL,7.5264,-12.505,79.34,81,8,4.14,clear sky
147,Ahipara,NZ,-35.1667,173.1667,64.58,84,57,5.66,broken clouds
148,Talaya,RU,61.3833,152.75,21.58,86,100,7.76,overcast clouds
149,Neuquen,AR,-38.9516,-68.0591,64.29,27,0,5.75,clear sky
150,Satipo,PE,-11.2522,-74.6386,69.21,96,100,2.55,overcast clouds
151,San Patricio,US,28.017,-97.5169,60.84,62,0,5.97,clear sky
152,Bengkulu,ID,-3.8004,102.2655,77.5,84,100,7.56,overcast clouds
153,Hofn,IS,64.2539,-15.2082,38.77,74,100,14.92,overcast clouds
154,Bonfim,BR,3.0833,-59.95,80.65,65,30,8.97,scattered clouds
155,Owerri,NG,5.4833,7.0304,73.63,98,72,3.27,broken clouds
156,Manokwari,ID,-0.8667,134.0833,85.01,67,90,7.63,overcast clouds
157,Barrow,US,71.2906,-156.7887,24.82,86,90,28.77,overcast clouds
158,Hamilton,US,39.1834,-84.5333,41.88,78,1,0.0,clear sky
159,Alausi,EC,-2.2,-78.8333,49.57,90,84,3.36,light rain
160,Bubaque,GW,11.2833,-15.8333,83.53,75,8,10.07,clear sky
161,Castro,BR,-24.7911,-50.0119,62.29,91,94,1.95,overcast clouds
162,Port Hedland,AU,-20.3167,118.5667,91.45,49,2,14.97,clear sky
163,Salalah,OM,17.0151,54.0924,73.49,64,20,2.3,few clouds
164,Jimma,ET,7.6667,36.8333,54.32,83,14,0.72,few clouds
165,Upernavik,GL,72.7868,-56.1549,10.54,70,7,5.59,clear sky
166,Port Lincoln,AU,-34.7333,135.8667,63.21,80,97,16.93,overcast clouds
167,Moron,AR,-34.6534,-58.6198,56.95,67,99,5.99,overcast clouds
168,Bali,ID,-8.5,115.0,85.23,61,100,7.05,overcast clouds
169,Klaksvik,FO,62.2266,-6.589,41.92,75,100,12.28,overcast clouds
170,New Norfolk,AU,-42.7826,147.0587,72.91,74,100,5.84,overcast clouds
171,Cabatuan,PH,10.8794,122.486,86.81,69,89,7.81,overcast clouds
172,Baymak,RU,52.5933,58.3225,24.93,47,100,9.15,overcast clouds
173,Netanya,IL,32.3329,34.8599,60.82,39,7,7.43,clear sky
174,Kingisepp,RU,59.3733,28.6134,42.69,86,100,10.42,overcast clouds
175,Dunedin,NZ,-45.8742,170.5036,57.79,65,80,15.99,broken clouds
176,Karaton,ID,-6.3424,106.1045,91.96,57,97,2.77,overcast clouds
177,Kazachinskoye,RU,57.6953,93.2761,24.06,90,100,12.91,light snow
178,Porto Velho,BR,-8.7619,-63.9039,75.25,94,90,6.91,moderate rain
179,Shimoda,JP,34.6667,138.95,61.16,66,98,12.66,overcast clouds
180,Port Blair,IN,11.6667,92.75,83.32,73,80,7.76,broken clouds
181,Upington,ZA,-28.4478,21.2561,61.18,44,0,6.91,clear sky
182,Amuntai,ID,-2.4177,115.2494,92.34,51,55,0.78,broken clouds
183,Gusinoye Ozero,RU,51.1144,106.2614,17.71,38,0,6.2,clear sky
184,Broken Hill,AU,-31.95,141.4333,89.31,18,40,12.66,scattered clouds
185,Monticello,US,45.3055,-93.7941,55.58,68,1,12.66,clear sky
186,Ust-Koksa,RU,50.2696,85.6108,8.06,73,72,1.36,broken clouds
187,Sosnovo-Ozerskoye,RU,52.5249,111.5418,12.0,57,17,15.73,few clouds
188,Berlevag,NO,70.8578,29.0864,36.32,98,100,27.29,overcast clouds
189,Yaan,NG,7.3833,8.5667,74.79,91,99,4.34,overcast clouds
190,Kurchum,KZ,48.5722,83.6542,15.71,51,29,6.08,scattered clouds
191,Cermik,TR,38.1361,39.4493,46.89,45,0,3.91,clear sky
192,Ambilobe,MG,-13.2,49.05,72.88,80,62,3.36,broken clouds
193,Portland,US,45.5234,-122.6762,49.24,85,1,0.0,clear sky
194,Kaitangata,NZ,-46.2817,169.8464,58.93,71,99,13.73,overcast clouds
195,Cayenne,GF,4.9333,-52.3333,77.04,91,75,3.44,broken clouds
196,Saint-Augustin,CA,51.226,-58.6502,31.01,64,2,7.74,clear sky
197,Huarmey,PE,-10.0681,-78.1522,65.08,86,59,7.94,broken clouds
198,Presidente Medici,BR,-11.1753,-61.9014,74.01,94,100,1.95,light rain
199,Yellowknife,CA,62.456,-114.3525,29.41,100,90,6.91,overcast clouds
200,Quatre Cocos,MU,-20.2078,57.7625,75.09,76,5,11.92,clear sky
201,Tiksi,RU,71.6872,128.8694,4.75,81,100,19.62,overcast clouds
202,Nikolskoye,RU,59.7035,30.7861,42.03,82,100,10.11,overcast clouds
203,Caldas Novas,BR,-17.7417,-48.625,78.13,43,100,3.38,overcast clouds
204,Katsuura,JP,35.1333,140.3,64.44,55,24,11.59,few clouds
205,Saint Anthony,US,45.0205,-93.218,55.54,63,1,4.0,clear sky
206,Bokoro,TD,12.3807,17.0568,81.82,24,12,9.51,few clouds
207,Chinacota,CO,7.6073,-72.6011,67.53,93,82,4.94,broken clouds
208,Charters Towers,AU,-20.1,146.2667,94.05,29,42,12.53,scattered clouds
209,Aksarka,RU,66.5606,67.7975,28.31,95,100,13.29,overcast clouds
210,Nueva Concepcion,GT,14.2,-91.3,80.17,91,93,3.83,overcast clouds
211,Tomatlan,MX,19.9333,-105.25,74.26,93,12,1.12,few clouds
212,Tuktoyaktuk,CA,69.4541,-133.0374,21.2,93,90,12.66,overcast clouds
213,San Quintin,MX,30.4833,-115.95,63.99,88,3,4.63,clear sky
214,Stornoway,GB,58.2093,-6.3865,49.96,93,75,11.5,broken clouds
215,Sao Filipe,CV,14.8961,-24.4956,78.91,73,45,5.99,scattered clouds
216,Itaberaba,BR,-12.5275,-40.3069,73.02,93,100,3.36,light rain
217,Vao,NC,-22.6667,167.4833,69.01,61,100,10.07,overcast clouds
218,Morales,CO,2.757,-76.6172,60.76,98,100,1.74,overcast clouds
219,Kununurra,AU,-15.7667,128.7333,94.98,46,82,5.75,broken clouds
220,Aklavik,CA,68.2191,-135.0107,20.23,96,100,5.73,overcast clouds
221,Samoylovka,RU,51.184,43.7081,41.4,74,100,14.07,overcast clouds
222,Flin Flon,CA,54.7682,-101.865,35.44,83,97,4.36,overcast clouds
223,Gilbues,BR,-9.8317,-45.3439,72.5,89,88,0.89,overcast clouds
224,Coxim,BR,-18.5067,-54.76,73.94,86,100,4.9,overcast clouds
225,Tilik,PH,13.8144,120.2002,83.01,79,85,18.54,overcast clouds
226,Saint George,US,37.1041,-113.5841,69.35,40,1,1.01,clear sky
227,Rovaniemi,FI,66.5,25.7167,33.21,100,90,4.61,light snow
228,Ono,JP,34.85,134.9333,63.88,42,100,3.2,overcast clouds
229,Kenai,US,60.5544,-151.2583,32.14,97,1,0.0,mist
230,Nipawin,CA,53.3668,-104.0009,39.24,87,75,8.05,broken clouds
231,Yumen,CN,40.2833,97.2,15.69,41,34,28.5,scattered clouds
232,Opuwo,NA,-18.0607,13.84,71.85,24,19,6.22,few clouds
233,Eyl,SO,7.9803,49.8164,74.03,79,5,5.57,clear sky
234,Jaciara,BR,-15.9653,-54.9683,72.95,93,100,0.58,overcast clouds
235,Mutsu,JP,41.2894,141.2169,60.01,65,43,5.41,scattered clouds
236,Channel-Port Aux Basques,CA,47.5702,-59.1367,39.29,85,69,7.76,broken clouds
237,Nicoya,CR,10.1483,-85.452,74.75,96,81,1.45,broken clouds
238,Alta Floresta,BR,-9.8756,-56.0861,71.51,99,100,2.98,heavy intensity rain
239,Albeni,RO,45.0333,23.6,57.13,82,85,1.07,overcast clouds
240,Soe,ID,-9.8607,124.284,88.39,39,59,7.76,broken clouds
241,Acarau,BR,-2.8856,-40.12,79.29,82,100,10.65,overcast clouds
242,Hami,CN,42.8,93.45,20.37,74,9,5.84,clear sky
243,Artyom,AZ,40.4723,50.333,37.54,61,21,11.45,few clouds
244,Paranhos,BR,-23.8928,-55.4311,67.35,96,97,3.74,overcast clouds
245,Batagay,RU,67.6333,134.6333,4.77,87,27,5.53,scattered clouds
246,Whitehorse,CA,60.7161,-135.0538,32.77,93,75,13.0,broken clouds
247,Ponta Delgada,PT,37.7333,-25.6667,70.5,77,75,19.57,broken clouds
248,Kavieng,PG,-2.5744,150.7967,84.88,71,86,13.78,light rain
249,Filadelfia,US,39.9523,-75.1638,43.99,68,1,0.0,clear sky
250,Chirongui,YT,-12.9319,45.1483,78.73,80,83,3.58,broken clouds
251,Saint-Pierre,RE,-21.3393,55.4781,74.88,63,20,4.61,few clouds
252,Lagoa,PT,39.05,-27.9833,68.32,88,100,28.77,overcast clouds
253,Sitka,US,57.0531,-135.33,46.29,66,40,10.36,light rain
254,Contamana,PE,-7.3333,-75.0167,74.44,91,100,2.64,moderate rain
255,Sobolevo,RU,54.4299,31.8996,43.27,83,100,13.58,overcast clouds
256,Le Moule,GP,16.3332,-61.3473,77.04,77,14,13.35,few clouds
257,Port Antonio,JM,18.18,-76.4612,82.31,86,62,7.14,broken clouds
258,Ibipeba,BR,-11.6408,-42.0111,69.82,90,100,3.09,light rain
259,Serenje,ZM,-13.2325,30.2352,63.63,40,47,3.85,scattered clouds
260,Roebourne,AU,-20.7833,117.1333,92.64,30,19,7.07,few clouds
261,Laguna,US,38.421,-121.4238,62.44,72,1,1.99,clear sky
262,Bela,IN,25.9333,81.9833,72.0,52,99,2.46,overcast clouds
263,Otane,NZ,-39.8833,176.6333,62.01,99,100,4.25,light rain
264,Yarmouth,US,41.7057,-70.2286,45.14,75,1,0.0,clear sky
265,Cordoba,AR,-31.4135,-64.1811,55.76,75,40,1.99,scattered clouds
266,Lalmohan,BD,22.3384,90.7419,75.4,69,97,10.65,overcast clouds
267,Muzaffarabad,PK,34.37,73.4711,56.82,56,0,5.73,clear sky
268,Okitipupa,NG,6.5047,4.7839,74.39,97,78,1.05,broken clouds
269,Burns Lake,CA,54.2331,-125.7533,29.62,88,100,3.8,overcast clouds
270,Biloela,AU,-24.4167,150.5,81.5,47,76,16.8,broken clouds
271,Trogir,HR,43.5125,16.2517,57.25,82,90,5.75,overcast clouds
272,Abrau-Dyurso,RU,44.69,37.59,45.86,75,32,1.23,scattered clouds
273,Adre,TD,13.4667,22.2,73.69,30,51,11.16,broken clouds
274,Valparaiso,CL,-33.0393,-71.6273,51.44,87,20,4.61,few clouds
275,Bara,NG,10.3744,10.7288,74.21,26,24,4.14,few clouds
276,Banda Aceh,ID,5.5577,95.3222,81.14,79,100,6.4,overcast clouds
277,Bundaberg,AU,-24.85,152.35,80.89,60,75,8.01,broken clouds
278,Waipawa,NZ,-41.4122,175.5153,57.04,99,100,7.9,overcast clouds
279,Dehloran,IR,32.6941,47.2679,70.16,42,0,8.01,clear sky
280,Bontang,ID,0.1333,117.5,83.98,71,89,4.18,overcast clouds
281,Alice Springs,AU,-23.7,133.8833,94.55,24,75,5.75,broken clouds
282,Labuhan,ID,-6.8844,112.2051,88.16,63,89,7.47,overcast clouds
283,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.74,89,97,9.91,overcast clouds
284,Guerrero Negro,MX,27.9769,-114.0611,66.97,86,56,9.08,broken clouds
285,Lircay,PE,-12.9896,-74.7205,50.29,74,100,2.15,overcast clouds
286,Asau,RO,46.4333,26.4,52.72,94,80,2.59,broken clouds
287,Bone,DE,51.9669,12.1396,45.72,92,58,7.76,broken clouds
288,College,US,64.8569,-147.8028,26.26,84,90,0.0,overcast clouds
289,San Clemente,US,33.427,-117.612,72.39,93,32,1.01,scattered clouds
290,Pacific Grove,US,36.6177,-121.9166,59.58,85,1,1.99,clear sky
291,Hudson Bay,CA,52.85,-102.3842,39.78,89,65,5.32,broken clouds
292,Arlit,NE,18.7369,7.3853,78.06,16,4,5.93,clear sky
293,Zyryanka,RU,65.75,150.85,12.11,79,50,11.52,scattered clouds
294,Betioky,MG,-23.7167,44.3833,65.1,71,0,3.49,clear sky
295,Ouallam,NE,14.3188,2.0866,84.13,19,17,7.63,few clouds
