City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
139,Constitucion,CL,-35.3333,-72.4167,51.6,85,0,4.59,clear sky
140,Port Alfred,ZA,-33.5906,26.891,63.88,80,100,8.23,light rain
141,Ponta Do Sol,PT,32.6667,-17.1,67.71,65,14,8.19,few clouds
142,Kavieng,PG,-2.5744,150.7967,85.01,71,83,13.78,broken clouds
143,Tiksi,RU,71.6872,128.8694,4.69,80,100,22.39,overcast clouds
144,Kurumkan,RU,54.3,110.3,10.4,68,64,2.37,broken clouds
145,La Cruz,MX,23.9167,-106.9,80.47,82,66,1.99,broken clouds
146,Puerto Narino,CO,-3.7703,-70.3831,76.95,96,79,0.67,broken clouds
147,Olafsvik,IS,64.8945,-23.7142,37.02,84,100,14.29,overcast clouds
148,Cockburn Town,TC,21.4612,-71.1419,83.28,76,100,20.49,overcast clouds
149,Tasiilaq,GL,65.6145,-37.6368,17.42,85,100,7.63,overcast clouds
150,Kuusamo,FI,65.9667,29.1833,33.84,93,90,5.75,light snow
151,Bambous Virieux,MU,-20.3428,57.7575,73.65,88,20,4.61,few clouds
152,Palu,ID,-0.8917,119.8707,83.41,81,100,1.9,overcast clouds
153,Presidente Medici,BR,-11.1753,-61.9014,74.39,93,100,1.66,overcast clouds
154,Cervo,ES,43.6702,-7.4101,55.96,73,19,10.07,few clouds
155,Sur,OM,22.5667,59.5289,75.16,57,0,9.06,clear sky
156,Sabha,LY,27.0377,14.4283,72.3,26,0,11.32,clear sky
157,Virginia Beach,US,36.8529,-75.978,54.0,56,90,12.66,overcast clouds
158,Altamira,BR,-3.2033,-52.2064,78.6,65,74,1.77,broken clouds
159,Skibbereen,IE,51.55,-9.2667,48.0,82,98,13.27,overcast clouds
160,Mahebourg,MU,-20.4081,57.7,71.26,82,24,9.4,few clouds
161,Longyearbyen,SJ,78.2186,15.6401,15.64,62,40,13.8,scattered clouds
162,Panama City,PA,8.9936,-79.5197,82.06,79,67,5.01,broken clouds
163,Gamba,GA,-2.65,10.0,76.57,88,100,5.84,overcast clouds
164,Benjamin Hill,MX,30.1667,-111.1,76.17,20,86,6.51,overcast clouds
165,Georgetown,MY,5.4112,100.3354,82.33,83,20,0.0,few clouds
166,Nara,JP,34.6851,135.8049,64.49,43,100,0.47,overcast clouds
167,Namtsy,RU,62.7161,129.6658,3.31,91,100,7.31,overcast clouds
168,Kaoma,ZM,-14.7833,24.8,64.38,77,6,4.03,clear sky
169,Alice Springs,AU,-23.7,133.8833,92.75,27,0,5.75,clear sky
170,Pangody,RU,65.85,74.4859,10.67,96,53,7.85,broken clouds
171,Mandurah,AU,-32.55,115.7,64.22,58,82,7.92,broken clouds
172,Marang,MY,5.2056,103.2059,79.34,83,92,2.13,overcast clouds
173,Izhma,RU,65.0083,53.9113,35.56,98,100,12.97,overcast clouds
174,Daru,PG,-9.0763,143.2092,84.7,71,63,9.24,broken clouds
175,Margate,GB,51.3813,1.3862,50.04,78,100,1.01,overcast clouds
176,Esperance,AU,-33.8667,121.9,56.82,58,100,5.5,overcast clouds
177,Mayo,US,38.8876,-76.5119,47.55,75,89,8.08,overcast clouds
178,Saldanha,ZA,-33.0117,17.9442,59.31,71,9,14.03,clear sky
179,Torbay,CA,47.6666,-52.7314,34.57,95,90,4.61,snow
180,Guerrero Negro,MX,27.9769,-114.0611,68.47,78,84,10.11,broken clouds
181,San Pedro De Ycuamandiyu,PY,-24.0917,-57.0764,72.5,95,29,3.04,scattered clouds
182,Lagoa,PT,39.05,-27.9833,68.2,89,100,27.94,overcast clouds
183,Santa Cruz,BO,-17.8,-63.1667,65.66,77,75,23.02,moderate rain
184,Tura,IN,25.5198,90.2201,63.46,88,1,3.18,clear sky
185,Dobson,US,36.3957,-80.7226,44.17,73,100,5.75,overcast clouds
186,Aripuana,BR,-9.1667,-60.6333,74.12,94,75,2.62,broken clouds
187,Mattru,SL,7.6244,-11.8332,75.34,92,20,1.66,few clouds
188,Takoradi,GH,4.8845,-1.7554,76.78,89,100,3.76,overcast clouds
189,Salalah,OM,17.0151,54.0924,75.29,69,20,2.3,few clouds
190,At-Bashi,KG,41.1702,75.8106,13.69,69,1,6.42,clear sky
191,Tuzha,RU,57.6062,47.936,44.2,90,100,19.62,overcast clouds
192,Gondanglegi,ID,-7.7479,112.0132,84.52,68,89,2.51,overcast clouds
193,Nelson Bay,AU,-32.7167,152.15,80.1,55,78,3.0,broken clouds
194,Davila,PH,18.4726,120.5763,84.25,70,6,1.5,clear sky
195,Hofn,IS,64.2539,-15.2082,38.43,71,100,13.73,overcast clouds
196,Sept-Iles,CA,50.2001,-66.3821,36.05,64,24,5.99,few clouds
