City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
367,Alofi,NU,80.49,scattered clouds,-19.0595,-169.9187,Taloa Heights
374,Atambua,ID,88.54,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
375,Akyab,MM,79.29,broken clouds,20.15,92.9,Hotel Memory
376,Mackay,AU,87.67,broken clouds,-21.15,149.2,International Lodge Motel
379,Vanimo,PG,83.17,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
383,Muisne,EC,75.4,overcast clouds,0.6,-80.0333,Quinta Samay
391,Amahai,ID,84.65,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
397,Kavaratti,IN,82.49,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
399,Marawi,PH,76.64,broken clouds,7.9986,124.2928,Derogongan Residence
417,Mahebourg,MU,76.24,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
419,Bartica,GY,75.52,broken clouds,6.4,-58.6167,Sloth Island Nature Resort
422,Ambon,ID,87.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
423,Airai,TL,80.1,broken clouds,-8.9266,125.4092,Juvinal Martin
424,Sola,VU,79.14,overcast clouds,-13.8833,167.55,Leumerus Bungalows
429,Makakilo City,US,82.72,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
434,Victoria,HK,83.32,clear sky,22.2855,114.1577,Mini Hotel Central
444,Maceio,BR,80.04,few clouds,-9.6658,-35.7353,Poutur Pousada
445,Manicore,BR,75.22,moderate rain,-5.8092,-61.3003,Hotel Durval
448,Bhinmal,IN,76.48,overcast clouds,25.0,72.25,Jambheswar Bhavan(Gopi Khilery)
451,Namatanai,PG,86.36,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
454,Shenzhen,CN,82.35,clear sky,22.5455,114.0683,Shenzhen Shanghai Hotel
462,Conde,BR,78.26,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
463,Gamba,GA,76.68,overcast clouds,-2.65,10.0,
